productRate,priceRate,promoRate,ambianceRate,wifiRate,serviceRate,chooseRate,age
4,3,4,4,3,3,5,40 and above
4,5,3,3,3,4,5,40 and above
4,4,4,4,2,3,4,40 and above
5,4,3,5,3,5,5,40 and above
4,3,5,4,4,4,4,40 and above
2,2,1,2,2,3,2,40 and above
3,3,5,3,2,4,4,40 and above
5,2,3,4,4,3,5,below 20
3,3,3,3,3,3,3,below 20
3,3,2,2,2,4,3,below 20
3,3,2,3,3,3,3,below 20
5,5,5,5,5,5,5,below 20
3,3,3,3,4,3,3,below 20
2,2,3,2,2,2,2,below 20
4,4,4,4,4,4,4,below 20
3,4,5,5,5,4,4,below 20
5,5,5,5,5,5,5,below 20
4,3,5,5,4,4,3,from 20 to 29
4,3,4,4,4,5,2,from 20 to 29
4,3,4,4,4,4,3,from 20 to 29
2,1,4,3,3,3,3,from 20 to 29
3,3,4,2,2,3,3,from 20 to 29
4,3,5,5,4,5,4,from 20 to 29
5,5,5,5,3,5,5,from 20 to 29
4,2,3,3,3,3,3,from 20 to 29
5,4,4,4,4,4,4,from 20 to 29
4,3,3,4,3,3,4,from 20 to 29
4,1,4,5,3,3,4,from 20 to 29
3,2,4,4,3,4,4,from 20 to 29
4,3,2,4,4,3,4,from 20 to 29
4,3,4,4,4,4,3,from 20 to 29
5,2,5,5,5,5,2,from 20 to 29
4,1,5,4,3,4,4,from 20 to 29
4,4,4,4,4,4,4,from 20 to 29
4,3,4,5,5,5,5,from 20 to 29
3,4,3,4,3,4,2,from 20 to 29
5,3,4,3,3,4,5,from 20 to 29
5,2,5,5,2,4,3,from 20 to 29
5,4,4,5,4,4,3,from 20 to 29
5,3,4,4,3,4,3,from 20 to 29
5,5,5,5,3,5,5,from 20 to 29
3,1,4,4,3,4,4,from 20 to 29
4,3,3,3,2,3,4,from 20 to 29
3,2,3,3,3,4,3,from 20 to 29
3,4,4,3,4,4,3,from 20 to 29
4,2,4,4,3,4,1,from 20 to 29
3,3,4,4,5,5,2,from 20 to 29
4,4,4,4,4,4,4,from 20 to 29
5,4,5,5,3,5,5,from 20 to 29
5,4,5,5,1,4,4,from 20 to 29
4,4,5,4,4,5,5,from 20 to 29
3,4,5,4,3,4,2,from 20 to 29
4,3,5,4,4,5,5,from 20 to 29
4,3,4,3,2,3,4,from 20 to 29
5,4,3,4,3,3,3,from 20 to 29
4,3,4,4,3,4,3,from 20 to 29
2,1,5,1,4,3,3,from 20 to 29
5,4,3,4,3,3,3,from 20 to 29
4,2,3,5,4,4,5,from 20 to 29
4,3,2,4,3,4,4,from 20 to 29
4,3,4,5,4,4,4,from 20 to 29
3,3,5,4,3,3,4,from 20 to 29
4,3,4,5,5,5,3,from 20 to 29
5,1,3,3,2,3,3,from 20 to 29
4,2,4,4,3,4,3,from 20 to 29
3,2,3,3,3,5,4,from 20 to 29
3,3,4,5,4,4,4,from 20 to 29
4,2,5,3,2,4,4,from 20 to 29
4,2,1,4,1,4,4,from 20 to 29
2,1,5,2,2,2,2,from 20 to 29
3,2,4,3,1,3,3,from 20 to 29
5,5,5,5,5,5,5,from 20 to 29
4,2,4,3,4,4,4,from 20 to 29
4,3,2,3,1,2,2,from 20 to 29
3,3,3,4,3,3,3,from 20 to 29
4,4,4,4,4,4,4,from 20 to 29
5,3,5,5,4,4,1,from 20 to 29
3,1,3,3,1,3,2,from 20 to 29
3,3,5,4,3,3,4,from 20 to 29
3,3,1,4,3,4,4,from 20 to 29
4,3,4,3,3,4,4,from 20 to 29
3,2,3,3,3,3,3,from 20 to 29
3,4,3,3,1,2,3,from 20 to 29
4,2,4,4,3,3,3,from 20 to 29
3,3,3,3,3,3,3,from 20 to 29
3,3,3,3,3,3,2,from 20 to 29
5,4,4,4,4,4,4,from 20 to 29
5,5,5,5,5,5,5,from 20 to 29
3,2,4,3,3,3,4,from 20 to 29
4,4,4,4,4,4,4,from 20 to 29
1,1,5,4,3,3,2,from 20 to 29
4,3,3,4,3,3,3,from 30 to 39
2,2,5,3,3,4,3,from 30 to 39
4,3,1,4,4,5,4,from 30 to 39
4,2,4,4,4,4,2,from 30 to 39
2,3,5,5,3,5,5,from 30 to 39
3,2,5,3,3,5,3,from 30 to 39
5,3,4,3,4,4,4,from 30 to 39
3,3,4,3,3,3,3,from 30 to 39
3,2,4,4,4,5,4,from 30 to 39
4,4,2,4,3,4,5,from 30 to 39
4,3,4,4,3,4,4,from 30 to 39
4,4,5,4,4,5,4,from 30 to 39
4,3,4,5,5,4,5,from 30 to 39
4,2,3,4,4,4,4,from 30 to 39
4,5,5,4,4,3,3,from 30 to 39
4,4,5,4,2,3,4,from 30 to 39
